CCAA_NOMBRE,n,tasa_real,tasa_pred,pct_fp,pct_fn,accuracy
Extremadura,8973,9.105093056948624,11.768639251086594,5.7060069096177415,3.0424607154797725,91.2515323749025
"Rioja, La",6261,8.449129532023639,7.938029068838843,3.9450567002076347,4.4561571633924295,91.59878613639994
Comunitat Valenciana,18616,8.084443489471422,10.340567253975074,5.506016330038676,3.2498925655350237,91.24409110442629
Castilla-La Mancha,16368,8.03396871945259,9.616324535679373,5.040322580645161,3.457966764418377,91.50171065493646
"Murcia, Región de",9336,7.647814910025708,8.472579263067695,4.466580976863753,3.641816623821765,91.8916023993145
"Madrid, Comunidad de",21401,7.2893790009812625,9.121069108920143,5.116583337227232,3.2848932292883513,91.59852343348442
País Vasco,8413,6.965410673956971,8.463092832521097,3.8511826934506126,2.3535005348864853,93.79531677166291
Andalucía,33666,6.831818451850531,9.45464266619141,5.058516010218024,2.4356917958771462,92.50579219390484
Castilla y León,24708,6.7387081107333655,7.928606119475473,4.233446656953213,3.0435486482111056,92.72300469483568
Melilla,877,6.385404789053592,7.183580387685291,2.8506271379703536,2.0524515393386547,95.096921322691
Cantabria,7526,6.364602710603243,7.560457082115334,3.9330321551953227,2.7371777836832316,93.32979006112144
"Asturias, Principado de",7883,6.330077381707472,8.359761512114677,4.135481415704681,2.1057972852974753,93.75872129899784
Galicia,18816,6.319090136054421,7.892219387755102,4.267644557823129,2.694515306122449,93.03784013605441
"Balears, Illes",7128,6.228956228956229,5.359147025813693,3.0162738496071833,3.886083052749719,93.0976430976431
"Navarra, Comunidad Foral de",8403,6.164465071998096,6.069260978222064,2.9513269070570036,3.0465310008330357,94.00214209210996
Ceuta,986,6.085192697768763,7.809330628803246,3.3468559837728193,1.6227180527383367,95.03042596348884
Aragón,11345,5.932128691053327,6.020273248126928,3.0850594975760246,2.9969149405024242,93.91802556192155
Cataluña,22237,5.774160183477988,5.666231955749427,3.0894455187300442,3.1973737464586054,93.71318073481135
Canarias,10975,5.722095671981776,7.726651480637813,4.236902050113895,2.2323462414578588,93.53075170842826
